Date,Name,Address,City,State,Zip,AOR,Type Detailed,Male/Female,FY25 ALOS,Level A,Level B,Level C,Level D,Male Crim,Male Non-Crim,Female Crim,Female Non-Crim,ICE Threat Level 1,ICE Threat Level 2,ICE Threat Level 3,No ICE Threat Level,Mandatory,Guaranteed Minimum,Last Inspection Type,Last Inspection End Date,Pending FY25 Inspection,Last Inspection Standard,Last Final Rating
2025-07-07,NORTHWEST ICE PROCESSSING CENTER,1623 E. J STREET,TACOMA,WA,98421,SEA,CDF,Female/Male,67.983617,530.408602,110.892473,205.741935,204.677419,377.146953,558.623656,43.268817,72.681004,150.738351,37.290323,26.756272,836.935484,807.200717,"1,181",ODO,1/30/2025,,PBNDS 2011 - 2016 Revised,Pass
2025-07-07,CUMBERLAND COUNTY JAIL,50 COUNTY WAY,PORTLAND,ME,04102,BOS,USMS IGA,Female/Male,38.741935,8.154122,1.566308,25.598566,18.408602,21.627240,20.146953,3.989247,7.964158,8.014337,1.075269,4.132616,40.505376,40.476703,,ODO,9/12/2024,Scheduled,NDS 2019,Pass
2025-07-07,DAKOTA COUNTY JAIL,1601 BROADWAY,DAKOTA CITY,NE,68731,SPM,USMS IGA,Female/Male,15.200669,3.164875,5.000000,6.326165,2.204301,10.605735,4.354839,0.240143,1.494624,0.792115,0.444444,0.577061,14.881720,13.136201,,ORSA,12/7/2024,,ORSA NDS 2019,Pass
2025-07-07,DALLAS COUNTY JAIL - LEW STERRETT JUSTICE CENTER,111 WEST COMMERCE STREET,DALLAS,TX,75202,DAL,USMS IGA,Female/Male,1.266708,6.892473,0.010753,0.007168,0.007168,2.609319,3.863799,0.139785,0.304659,0.003584,0.014337,0.014337,6.885305,3.971326,,ODO,7/18/2024,Scheduled,NDS 2019,Pass
2025-07-07,DENVER CONTRACT DETENTION FACILITY,3130 OAKLAND ST,AURORA,CO,80010,DEN,CDF,Female/Male,68.583408,542.501792,205.175627,203.763441,153.655914,302.150538,734.706093,19.695341,48.544803,102.315412,49.225806,46.781362,906.774194,714.057348,600,ODO,2/13/2025,,PBNDS 2011 - 2016 Revised,Pass
2025-07-07,DELANEY HALL DETENTION FACILITY,451 DOREMUS AVENUE,NEWARK,NJ,07105,NEW,CDF,Female/Male,15.525308,51.774194,15.559140,14.648746,6.838710,17.480287,64.311828,1.032258,5.996416,0.225806,0.863799,2.835125,84.896057,46.279570,700,,,,,
2025-07-07,DODGE COUNTY JAIL,215 WEST CENTRAL STREET,JUNEAU,WI,53039,CHI,USMS IGA,Female/Male,36.960964,11.741935,13.845878,42.491039,39.480287,80.476703,25.817204,0.448029,0.817204,16.114695,9.175627,4.476703,77.792115,88.598566,,ODO,4/3/2025,,NDS 2019,Pass
2025-07-07,ELOY FEDERAL CONTRACT FACILITY,1705 EAST HANNA RD.,ELOY,AZ,85131,PHO,DIGSA,Female/Male,40.025556,978.193548,59.519713,133.143369,145.537634,177.559140,515.939068,88.207885,534.688172,105.673835,49.978495,70.311828,1090.430108,788.193548,900,ODO,10/31/2024,,PBNDS 2011 - 2016 Revised,Pass
2025-07-07,EDEN DETENTION CTR,702 E BROADWAY ST,EDEN,TX,76837,DAL,USMS IGA,Male,25.905983,89.935484,12.523297,2.114695,0.781362,11.960573,93.394265,0.000000,0.000000,1.039427,0.379928,2.050179,101.885305,61.534050,,ODO,2/27/2025,,NDS 2019,Pass
2025-07-07,EAST HIDALGO DETENTION CENTER,1330 HIGHWAY 107,LA VILLA,TX,78562,HLG,USMS IGA,Female/Male,3.914286,5.240143,1.835125,2.229391,1.293907,4.946237,4.827957,0.164875,0.659498,2.383513,0.756272,0.978495,6.480287,10.333333,,ORSA,5/22/2025,,ORSA NDS 2019,Pass
