facility_name,measured_on,level_a,level_b,level_c,level_d,male_crim,male_non_crim,female_crim,female_non_crim,ice_threat_level_1,ice_threat_level_2,ice_threat_level_3,no_ice_threat_level
SOUTH CENTRAL REGIONAL JAIL,2025-06-09,6.242647615384621,3.3118728461538556,8.716212692307689,0.6138823076923074,8.555191076923096,9.634369615384598,0,0.6950741538461538,2.005507923076926,1.0019839999999998,1.2330653846153832,14.644058153846153
SOUTH LOUISIANA ICE PROCESSING CENTER,2025-01-06,587.14433,100.226804,81.195876,32.28866,1.42268,1.525773,104.896907,693.010309,55.381443,22.216495,21.092784,702.164948
SOUTH LOUISIANA ICE PROCESSING CENTER,2025-01-21,622.3978439999996,90.8040805333334,111.0589434666667,47.29008800000001,4.566490666666668,8.6540164,122.12634093333327,736.2041145333332,51.8449724,12.630366000000018,16.235411199999998,790.8402064000004
SOUTH LOUISIANA ICE PROCESSING CENTER,2025-02-18,629.1472740714291,102.40604153571427,94.49765450000002,35.35188703571426,2.6097441785714284,5.418612964285714,116.68855317857144,736.685946821429,59.05998835714289,24.319368785714282,18.084089678571413,759.939410321428
SOUTH LOUISIANA ICE PROCESSING CENTER,2025-03-03,637.7113819999985,107.89967315384624,114.71835292307696,36.39698407692315,0.9935154615384625,7.180623307692306,126.73005223076926,761.8222129999989,41.05854261538458,33.53896800000002,29.523526538461528,792.6053550000014
SOUTH LOUISIANA ICE PROCESSING CENTER,2025-03-17,618.5959040000016,106.7523849999999,129.09370099999992,41.82841899999994,7.246048999999995,12.698173000000006,130.76309600000008,745.563068,41.781460000000024,28.104062999999996,22.366561999999995,804.018323999999
SOUTH LOUISIANA ICE PROCESSING CENTER,2025-03-31,604.2164379999989,120.68018399999995,164.68140800000012,56.18644999999996,3.434516000000002,7.518339999999999,172.40195599999996,762.4096670000009,65.351171,32.69571199999999,38.453493000000016,809.2641039999996
SOUTH LOUISIANA ICE PROCESSING CENTER,2025-04-14,591.7956059999997,111.33123599999999,167.99895599999996,60.908404000000054,1.423410000000002,3.423409999999998,162.87757199999993,764.3098230000002,81.42382299999996,45.75477000000001,34.70633500000002,770.1492460000009
SOUTH LOUISIANA ICE PROCESSING CENTER,2025-04-28,592.593317,116.4926039999999,166.1569839999998,55.93981200000001,13.553278000000002,-8.059167000000002,153.30067899999995,772.3879269999992,60.66369899999999,36.84026500000001,38.21458099999999,795.4642000000001
SOUTH LOUISIANA ICE PROCESSING CENTER,2025-05-12,598.1242190000006,115.33658400000006,178.24488800000003,60.30612199999996,4.864975999999997,20.504333000000006,167.34363699999994,759.2988670000008,73.64763500000014,47.88274099999996,27.87373500000006,802.607686000001
SOUTH LOUISIANA ICE PROCESSING CENTER,2025-05-27,595.372099666666,119.86363333333357,185.2405598666667,67.24303233333339,1.1245614000000008,6.675362466666669,176.34742373333356,783.5719616666669,62.018292799999834,51.90207739999999,42.07398399999996,811.7249699999986
SOUTH LOUISIANA ICE PROCESSING CENTER,2025-06-09,579.373253615385,115.80969999999994,190.75649984615413,62.07702946153837,18.291104230769232,-5.038748692307711,165.53200861538426,769.2321371538453,28.11248369230774,49.54291930769236,42.297428307692336,828.0636699999988
SOUTH TEXAS ICE PROCESSING CENTER,2025-01-06,1353.927835,91.257732,181.474227,59.371134,306.85567,1353.041237,19.216495,6.917526,86.639175,75.216495,145.134021,1379.041237
SOUTH TEXAS ICE PROCESSING CENTER,2025-01-21,1213.8090779999989,127.2841509333334,212.61531693333333,84.9005912,354.34828933333364,1260.9444516000008,16.86236600000002,6.45403013333333,73.86885666666676,78.46716600000006,210.11639613333318,1276.156718266666
SOUTH TEXAS ICE PROCESSING CENTER,2025-02-18,1244.3642973571436,106.91714285714286,189.38047010714283,72.24152989285719,354.9780116428571,1227.2879817499986,21.18589867857143,9.451553178571434,94.79385714285718,71.2338388928571,199.85836878571445,1247.017375392857
SOUTH TEXAS ICE PROCESSING CENTER,2025-03-03,1226.1777519999998,138.02785907692305,198.927783923077,87.30098361538442,379.1437658461537,1192.2586545384615,30.456693000000016,48.575242538461524,40.77742646153834,65.55553592307703,209.9980446153845,1334.1033597692328
SOUTH TEXAS ICE PROCESSING CENTER,2025-03-17,1183.6791910000009,156.32597600000008,203.09330099999974,86.26014399999998,421.42315699999955,1113.271655000002,32.57308199999995,62.09071699999999,34.56882400000008,90.74256000000007,226.85695699999997,1277.190294
